DATE,00368_BEARING,00368_PLUNGE,00380_BEARING,00380_PLUNGE,00400_BEARING,00400_PLUNGE,ENERGY_BP_1-50,KURT_BP_1-50,ENERGY_BS_1-50,KURT_BS_1-50,ENERGY_BP_50-100,KURT_BP_50-100,ENERGY_BS_50-100,KURT_BS_50-100,ENERGY_BP_100-150,KURT_BP_100-150,ENERGY_BS_100-150,KURT_BS_100-150,ENERGY_BP_150-200,KURT_BP_150-200,ENERGY_BS_150-200,KURT_BS_150-200,ENERGY_BP_200-250,KURT_BP_200-250,ENERGY_BS_200-250,KURT_BS_200-250,ENERGY_BP_250-300,KURT_BP_250-300,ENERGY_BS_250-300,KURT_BS_250-300,ENERGY_BP_300-350,KURT_BP_300-350,ENERGY_BS_300-350,KURT_BS_300-350,ENERGY_BP_350-400,KURT_BP_350-400,ENERGY_BS_350-400,KURT_BS_350-400,ENERGY_BP_400-450,KURT_BP_400-450,ENERGY_BS_400-450,KURT_BS_400-450,ENERGY_BP_450-499,KURT_BP_450-499,ENERGY_BS_450-499,KURT_BS_450-499,dftENERGY_0.0-0.1,dftENERGY_0.1-0.2,dftENERGY_0.2-0.30000000000000004,dftENERGY_0.30000000000000004-0.4,dftENERGY_0.4-0.5,dftENERGY_0.5-0.6000000000000001,dftENERGY_0.6000000000000001-0.7000000000000001,dftENERGY_0.7000000000000001-0.8,dftENERGY_0.8-0.9,dftENERGY_0.9-1.0,MEAN_RECTILINEARITY,VAR_RECTILINEARITY,MEAN_PLANARITY,VAR_PLANARITY,PLANE_STRIKE,PLANE_DIP,MEAN_PLUNGE,MEAN_BEARING,R_VALUE,corrMAX,corrAVG,corrMED,corrSTD,corrMIN,corrRANGE,abscorrMAX,abscorrAVG,abscorrMED,abscorrSTD,abscorrMIN,abscorrRANGE,DUR,envNPEAKS,RISETIME,envMAX,envAREA,envAVG,STN,envKURT,envSKEW,dftAVG,dftMAX,dftARGMAX,dftVAR,dftNPEAKS
2020-07-18 00:06:32.311000+00:00,243.889545561,155.026696572,188.99186369,97.8000030825,243.308348687,145.681793767,3185258827.44,27.2563500559,282248552.934,1.91521623977,143020684.392,7.92346663627,3231048670.13,26.8950658926,13269297.1808,10.5388333679,3409696576.24,26.7532272701,3213695.39541,7.90995375275,3421068939.56,26.6176373042,1186504.36355,13.5336586281,3423702716.18,26.6097026637,153704.97937,2.79766657968,3425048740.93,26.6048499943,70264.2507914,0.206876826165,3425157532.56,26.6034070064,71845.6169851,-0.24011876006,3425160188.35,26.6036052061,44386.7253848,-0.0484075878962,3425193698.42,26.6029879352,548.611941007,0.0301400427278,10789001357.3,4.29646895805,423560.514388,21070.8965592,1902.63868614,451.579364209,183.204834113,21.9835339154,10.3707720728,10.3471081895,6.45591071971,0.0824977383916,0.603096327484,0.000900211127126,0.802454578789,0.00018936157418,247.353405868,83.4198304922,47.452528227,60.1159445138,0.894387484421,0.933378247057,0.0234898736086,-5.27293147238e-17,0.391366980578,-0.800794131733,1.73417237879,0.933378247057,0.282035291977,0.227130132689,0.272352678945,8.87015036731e-18,0.933378247057,7659,7,2089.0,6794.98556006,4375.37612608,571.3103928,10.1070118093,26.6021519724,0.132198421311,116.767121059,12545.905339,29.7688993341,547376.680914,4
2020-07-18 00:07:33.617000+00:00,243.158643994,145.558496281,195.360143021,104.492538792,237.464663476,138.769900598,538834559.094,13.2958727192,323102948.529,6.30510941979,113912125.471,33.26649896,582455184.721,14.943331352,14344999.4587,14.3567021738,747043389.293,20.429566373,1907195.33838,4.65770130346,761383651.487,21.6191442564,453904.572693,3.61656505475,763240145.088,21.4639011681,74662.2543208,0.630419411308,763680974.112,21.4585923608,42134.5931277,-0.252277725685,763722663.432,21.4589856385,46779.3963686,0.00888905419164,763717985.028,21.4590010659,23809.4401608,0.0196232306618,763743997.399,21.457783803,352.572851211,0.44619322579,949383015.948,14.9394120602,147692.467165,30902.782807,3782.37678716,517.400755817,118.996012652,22.4447819836,13.1277671393,14.4708022118,8.14806493716,1.63569045481,0.553319775796,0.0011659140459,0.801433537065,0.00156539811352,250.231239341,77.8132818219,51.2413963516,54.6656522967,0.937358374821,0.908681319874,0.166814241917,0.0321467411646,0.338098087387,-0.5216623175,1.43034363737,0.908681319874,0.252223801979,0.0820763213866,0.280215027642,1.22181748971e-16,0.908681319874,4171,1,1460.0,4485.84182287,1705.75148801,409.037632022,10.4774496079,21.4560296452,-1.01411257006,87.763111522,13308.7941318,17.0222968113,199662.908199,1
2020-07-18 00:08:48.371000+00:00,226.82825363,148.873682291,193.689990152,97.2893148446,229.801757089,150.807635443,2778936804.97,9.95905823377,395615805.418,2.20058744516,226465197.33,5.30826447349,2912341503.63,9.45475558374,46788913.8621,2.82472770848,3197044982.87,9.5255768391,31747164.1141,1.94002399919,3221783320.96,9.46569264891,2819796.085,1.54648670533,3253987834.19,9.34891377641,268550.953166,0.244302905927,3256842462.82,9.33168599371,87095.5797379,0.0797565524332,3257168194.52,9.32966449886,80400.3326137,0.159614697645,3257183314.45,9.32948454896,68040.8308942,-0.0449986159409,3257201267.82,9.32933571222,1309.95171657,0.20833244623,4606399349.95,4.59055365557,398348.897096,37454.0962454,7074.53004956,4679.13393175,417.773271716,42.6755739656,13.2761857373,11.9095509049,10.212944555,0.23432703488,0.516205650703,0.00264465151815,0.749830469046,0.00800696927908,230.962037068,85.5146062041,47.4266658414,46.0762156089,0.903745887956,0.915117612237,0.0311082846684,3.08951750232e-16,0.395778547721,-0.813137703868,1.72825531611,0.915117612237,0.225705576792,0.0615595215188,0.326596657693,1.00681220465e-16,0.915117612237,7266,5,4353.0,5587.05520607,4662.63356476,641.72456476,8.30485598396,9.32896466318,-0.314395410438,123.294644793,11935.8201664,23.8095238095,494520.422423,4
2020-07-18 00:10:40.829000+00:00,265.232648126,145.713705518,358.360819038,34.2238096038,266.861536702,89.2623186576,6059807.54739,14.4245786381,101744641.479,10.2478736007,2180857.49588,1.15617162769,17332471.7249,12.5623522829,1947603.35484,224.134181716,17125362.6104,3.40561740088,6288879.97337,0.831559026448,12953020.5946,18.3846773165,879492.831724,108.037006695,18656710.034,9.58187365736,486261.975141,61.5490221662,19075154.3117,10.603740218,252988.270059,19.0140166446,19343065.9372,11.6781433824,240924.493551,27.063515129,19362442.58,11.6475477539,135237.371724,18.7792860707,19487812.011,11.5952410365,1267.09828654,1.14244686847,95981973.7167,0.330496616316,269.388388119,169.530198203,157.910122016,505.524987361,65.7685726314,40.8101768745,21.7752214918,20.3803194737,11.2380949058,0.399250893042,0.262320390219,0.05564182205,0.670851638139,0.0213703127158,310.920165595,62.2010358606,60.7318488283,41.3380969707,0.8122481762,0.411558734703,-0.0302586363285,1.40348059385e-17,0.172750341511,-0.563039836436,0.974598571138,0.563039836436,0.106298481403,0.0503875606726,0.139495155529,1.02114501905e-17,0.563039836436,13112,3,2238.0,482.107468673,571.449838835,43.5917916406,12.9168982637,11.4944635229,-0.0492136384435,0.192576686285,285.740936243,179.911531422,13.1794719141,1
2020-07-18 00:12:33.647000+00:00,254.867241847,149.583574954,186.882266827,106.807967663,255.154746035,146.479222941,505968856.143,3.15636030824,117723351.951,2.92416491931,35570677.5697,10.4916158084,538406519.325,3.50267625799,13495154.0683,13.0405580613,576301437.718,4.13411518952,2924071.04794,4.54890723417,587982174.836,4.22764893049,240045.960808,3.45281173934,591112884.627,4.18818988653,80527.3855677,0.221335860823,591319213.86,4.17977762465,64891.9672563,0.0287297019297,591339816.797,4.18026897407,70152.9846182,-0.0754911776233,591332447.423,4.18039720976,45131.7320141,0.103678094041,591362495.836,4.17996370954,499.834968419,0.165109014754,1730104444.96,0.393210709507,72002.5846468,5441.85105252,1899.79553244,420.708332727,36.9719897866,12.0941811642,9.79712013436,10.6055137961,6.84754448504,0.234764833654,0.627854745765,0.000153634946299,0.824871967028,0.00155490474355,265.621774097,73.5371235362,47.8653180698,66.5467725929,0.906095600734,0.947739916491,0.189282971266,0.00854569767984,0.367611146008,-0.437659949751,1.38539986624,0.947739916491,0.245330652281,0.0408040403324,0.332834596957,1.30696618496e-16,0.947739916491,7403,2,3792.0,2131.02543377,2239.80629043,302.574200966,6.68171075553,4.17911031998,-0.0805678897283,21.56712336,1925.38668213,12.157233554,9729.70889426,2
2020-07-18 00:13:54.517000+00:00,239.5808558,153.244710434,188.58724291,100.119957484,241.526700967,150.488413333,246860613.425,7.43924423087,120657872.392,2.96670981162,33862757.3761,8.42449799445,272507269.795,7.64684676856,4885095.2876,7.52101515165,308142089.561,10.3754155997,6681180.72573,0.960539196252,307362520.145,10.4750574412,270857.918602,3.50003346026,314704063.765,10.0398650046,67121.2059266,0.361319410529,314984356.648,10.0530054756,63493.8163624,-0.0328263613103,314989959.087,10.0531251258,62001.3285621,0.115323920801,314992316.602,10.0528099856,36946.8702847,0.0238452817208,315023080.731,10.0507659641,518.62206385,-0.219526455272,725151781.297,2.67029329905,40264.6032148,5605.80685877,845.250194636,1110.33694049,45.6461291268,11.3133846704,10.7843569018,10.5739868427,6.11967864309,0.130356938469,0.575323623554,0.00038159241057,0.752850987795,0.00328588585703,245.056870191,81.5926373927,45.7664735285,56.3120311872,0.896587876005,0.903058921282,0.032078534022,-1.13399474428e-16,0.390201768753,-0.741601444886,1.64466036617,0.903058921282,0.259238390675,0.0753081207729,0.293397187246,9.14618913877e-17,0.903058921282,6538,3,2522.0,1935.73635227,1428.23395274,218.474155435,8.83112856513,10.048380462,0.401379800351,14.6515489608,948.920996854,17.8953808504,4291.54936092,4
2020-07-18 00:15:10.521000+00:00,272.561029463,151.182544436,179.595764317,103.926616485,252.933385752,142.581733876,595760359.227,8.5163468902,120816402.004,10.966366809,47059499.6883,13.2455359055,703584506.657,11.1283568104,6242452.39598,9.7584825887,827475272.567,13.4759317696,6988516.19388,6.14711020831,828482148.943,13.4870121451,291055.005059,6.07621524328,835782662.553,13.4650637085,82067.4436368,0.568672071199,836051236.067,13.4785375503,65098.4901562,-0.181120300055,836077466.414,13.4782855313,67234.5235973,-0.208776419905,836075079.196,13.4786936342,40394.5074687,-0.030882259114,836107954.711,13.4774167724,536.039435374,-0.112872304535,1510766822.75,3.9950618615,111245.115869,6691.62688021,987.859407158,1074.29750346,46.7269617019,14.0574478489,11.5428073792,11.3919888118,7.47200328132,0.702058175839,0.388058115177,0.00138500765459,0.74894656828,0.0138781502814,274.581775234,74.342871729,50.6436580464,75.0950753731,0.88817433269,0.924660121838,0.0120826637271,-2.49444476985e-16,0.392497265836,-0.897371384655,1.82203150649,0.924660121838,0.240581327643,0.0943047473239,0.3103557946,2.94455865714e-17,0.924660121838,6941,3,3084.0,3331.9207816,2309.66952898,332.825189731,9.0263441549,13.47579283,-0.0903121244394,34.5983269742,3451.59396576,41.3485088604,35316.6780812,1
2020-07-18 00:15:59.160000+00:00,253.909147503,150.524276782,187.687941545,104.370300605,237.948765485,135.939356823,724400960.258,6.96810490624,186754133.308,7.66194272654,73536591.1113,9.20450729827,807474218.052,7.69688485768,29241420.942,17.8861799605,874737534.877,7.1852551859,6886146.38301,4.56309257845,901843395.778,8.02170065549,336213.479398,10.1356620487,910628783.349,7.95522781405,104560.889297,0.111016468383,910962390.126,7.94960169217,121174.249446,-0.0370754662274,910954528.155,7.94950681718,67219.1458544,0.602893793959,911012187.045,7.94900719858,50348.7544652,0.0844529235519,911036491.044,7.94846084734,581.505591302,0.0888287828439,1155917286.41,5.49606287591,194770.492278,21285.6975826,7907.05873138,1808.70159782,85.9549625592,31.0220195422,32.0407272697,18.4841090634,13.7127540544,0.260226022911,0.522314095203,0.000725453297208,0.795718588181,0.00252238675411,259.185657679,74.8489338666,51.5023769282,59.5704786731,0.918345857769,0.95678543185,0.146876419621,0.0189582518409,0.357988454226,-0.513408319549,1.4701937514,0.95678543185,0.267702519169,0.139040722109,0.279398957104,2.38803564402e-17,0.95678543185,4032,3,275.0,3862.66564153,1860.33754024,461.523237022,6.67303978712,7.94722771324,-0.226455673372,112.024504208,6435.09064873,36.4583333333,208633.023735,2
2020-07-18 00:17:18.623000+00:00,253.428538104,145.87147078,187.792032097,108.429525462,254.273260126,142.862080377,3890197499.65,9.76881420191,369928886.628,5.25660732753,135742320.747,10.3098386059,4026987794.21,9.98464797371,56337129.6786,11.3374740096,4153897469.26,10.131726713,7343087.00104,5.33747825645,4207784725.8,10.2638807619,615711.456411,5.38117267121,4217049309.48,10.2836741677,615919.336864,4.83036899543,4217194937.47,10.2838968608,130835.068455,0.292297039312,4217745424.63,10.2827383565,145864.206729,0.629472137908,4217731565.2,10.2828736142,82266.8527625,0.152940104447,4217806999.1,10.2825006629,994.95547217,0.0223442553441,8713954992.51,2.99840362023,400589.195826,15118.6182063,6097.06217255,825.016760249,68.5282544714,65.878656595,14.8443546447,16.061653042,9.48890353314,0.202995397583,0.57851064127,6.38040899365e-05,0.786260387208,0.00277655490996,267.364687634,71.9068212922,49.9450198647,64.4851941103,0.920401032614,0.934016756207,0.19745806409,0.032339883663,0.344156760078,-0.168990174531,1.10300693074,0.934016756207,0.224981980843,0.0596681380403,0.3268281978,1.06647733781e-18,0.934016756207,9976,2,4560.0,5830.33764126,6144.16627382,615.907272918,8.93216224225,10.2819516727,-0.551115745553,84.747423889,17885.5543746,15.1363271852,317282.363904,1
2020-07-18 00:23:19.853000+00:00,227.648789201,147.463940164,199.975569676,96.2439370223,222.253398732,149.564044571,388323477.863,3.18270519306,96286183.4857,1.105854005,17459992.596,2.44900464052,412739534.285,3.28629766197,1914386.58636,4.13443166843,441017731.349,3.72703473026,1674895.40566,1.77267552602,441440571.243,3.78072130864,164058.431432,1.15059540544,443045015.345,3.75600124354,100388.9587,0.159964299401,443129910.133,3.75822462238,78520.6881815,-0.0748586313851,443153634.66,3.75747666075,83713.4175363,-0.0196526330588,443148502.513,3.75742671393,51033.5501982,0.0319155063184,443189513.181,3.75670755347,715.229395621,0.20379750946,965917841.118,0.847323421016,46572.9111412,2118.2203188,229.239325294,192.660792004,20.3902603483,12.485255801,9.69684372772,10.4118621535,6.28313339191,0.1769325316,0.492684693433,0.00783843702023,0.777241230182,0.0024472516298,226.54791107,87.2935080661,48.5146650757,43.4626025239,0.907045897649,0.890275500943,0.0405582990063,0.003869695931,0.381094750334,-0.804667311708,1.69494281265,0.890275500943,0.237194226852,0.048499870954,0.301026714925,6.61993999668e-18,0.890275500943,8990,10,5038.0,1416.39543923,2135.98063456,237.60968926,6.36305937629,3.75578119298,-0.0890824505554,10.9369385821,4112.21858256,20.8008898776,8410.36560362,1
